method,ctx_len,prefill_median_ms,prefill_p95_ms,prefill_std_ms,decode_tok_s_approx
baseline,1024,105.88936233520508,111.58261108398438,2.283137773761779,32.11116609747612
fixed_topk k=6,1024,128.7882537841797,129.77426147460938,0.5450498974657726,22.067325107079274
fixed_topk k=8,1024,137.6446762084961,138.38829040527344,0.8143532036888648,21.212675881505376
bound_screen k=6,1024,130.9927978515625,132.60525512695312,1.0853441338931038,21.43344503399464
baseline,2048,216.88176727294922,219.3477783203125,3.7643054265737597,24.562779084157953
fixed_topk k=6,2048,239.10680389404297,240.80027770996094,0.9837053610309304,16.597298101894232
fixed_topk k=8,2048,267.0317687988281,267.63958740234375,0.8111332942741685,16.004243312557968
bound_screen k=6,2048,244.55731964111328,247.23768615722656,1.1543458571425245,54.684434490761845
baseline,4096,558.8309631347656,568.169921875,4.299089458937468,29.076053561057893
fixed_topk k=6,4096,516.2970886230469,516.717041015625,0.9782820835210505,11.576980223424272
fixed_topk k=8,4096,564.0077209472656,568.7479858398438,1.9734743244442132,10.895166358846408
bound_screen k=6,4096,520.2523498535156,521.6483764648438,1.2155464330231465,24.17203469013029
baseline,8192,1596.046142578125,1616.737060546875,11.198682512132823,6.93678524205714
fixed_topk k=6,8192,1155.5978393554688,1156.99853515625,1.6101318142816847,15.356169355566225
fixed_topk k=8,8192,1178.6465454101562,1184.08251953125,2.0512828119470496,15.027327259742705
bound_screen k=6,8192,1154.0712280273438,1159.980712890625,3.2349406821380216,15.331614952254803
baseline,16384,5514.6875,5565.09521484375,33.44123859275709,1.6847705289376358
fixed_topk k=6,16384,2501.635009765625,2521.2705078125,13.069940113296719,3.684070700248884
fixed_topk k=8,16384,2628.76904296875,2636.595947265625,7.772020883575316,3.4704737803577093
bound_screen k=6,16384,2458.356201171875,2475.3564453125,9.051596852360339,2.6781655824419635
baseline,32768,28703.02734375,29949.697265625,563.5104403125532,0.5545592886802312
fixed_topk k=6,32768,5517.62646484375,5530.16650390625,10.394358946394632,1.2088147860241414
fixed_topk k=8,32768,6027.41796875,6047.68212890625,11.636454636674483,1.4339574587077535
bound_screen k=6,32768,5415.44580078125,5446.384765625,14.6324535091619,1.2934330602011224
baseline,65536,179763.53125,191056.359375,16710.82731679398,0.08294042601410263
fixed_topk k=6,65536,13825.7197265625,15103.48828125,662.9938643937002,0.2816922911974804
bound_screen k=6,65536,13042.185546875,13199.935546875,94.54656299943126,0.30705068892624243
